Deposit,100.0,2025-04-20 21:13:36,100.0
Deposit,100.0,2025-04-20 21:13:36,100.0
Withdraw,50.0,2025-04-20 21:13:42,50.0
Withdraw,50.0,2025-04-20 21:13:42,50.0
Deposit,5000.0,2025-04-20 21:14:28,5050.0
Deposit,5000.0,2025-04-20 21:14:28,5050.0
Withdraw,100.0,2025-04-20 21:14:33,4950.0
Withdraw,100.0,2025-04-20 21:14:33,4950.0
Deposit,1000.0,2025-04-20 21:20:08,5950.0
Deposit,1000.0,2025-04-20 21:20:08,5950.0
Deposit,1000.0,2025-04-20 21:24:13,6950.0
Deposit,1000.0,2025-04-20 21:24:13,6950.0
Deposit,5000.0,2025-04-20 21:28:20,11950.0
Deposit,5000.0,2025-04-20 21:28:20,11950.0
Deposit,7000.0,2025-04-20 21:29:26,18950.0
Deposit,7000.0,2025-04-20 21:29:26,18950.0
Withdraw,9000.0,2025-04-20 21:29:47,9950.0
Withdraw,9000.0,2025-04-20 21:29:47,9950.0
Deposit,9000.0,2025-04-20 21:30:31,18950.0
Deposit,9000.0,2025-04-20 21:30:31,18950.0
Deposit,1000.0,2025-04-20 21:33:17,19950.0
Withdraw,4000.0,2025-04-20 21:33:43,15950.0
Deposit,5000.0,2025-04-20 21:42:41,20950.0
Withdraw,10000.0,2025-04-20 21:43:00,10950.0
Deposit,3000.0,2025-04-20 21:44:48,13950.0
Withdraw,10000.0,2025-04-20 21:44:57,3950.0
